Contig ID,Size,Prev_ech1,Prev_ech2,Prev1 F ENV RPKM,Prev2 F ENV RPKM
Prev_v1_contig_10174,340,179,366,4.17973794,7.189954857
Prev_v1_contig_10175,476,547,1124,4.430250139,7.658721702
Prev_v1_contig_10176,2567,225,223,3.207003348,2.674057946
Prev_v1_contig_10177,1666,174,200,5.294779495,5.120091021
Prev_v1_contig_10178,240,1746,2359,13.76321354,15.64417285
Prev_v1_contig_10179,642,1518,1465,41.39573766,33.61015653
Prev_v1_contig_1018,818,75291,64646,946.4820918,683.6912938
Prev_v1_contig_10180,1967,326,320,20.42374376,16.86618219
Prev_v1_contig_10181,951,61,73,2.542208596,2.559488979
Prev_v1_contig_10182,986,391,484,20.93788983,21.80472282
Prev_v1_contig_10183,307,2191,1549,33.92820725,20.17989994
Prev_v1_contig_10184,264,1007,1266,10.6834248,11.29961869
Prev_v1_contig_10185,982,8883,8104,87.78031029,67.37300801
Prev_v1_contig_10186,777,1879,2088,49.68530418,46.44946574
Prev_v1_contig_10187,980,2208,2739,90.83481413,94.79694702
Prev_v1_contig_10188,432,1322,1433,15.70243861,14.31960029
Prev_v1_contig_10189,477,255,233,4.188982093,3.220129224
Prev_v1_contig_1019,523,21237,58302,340.6939655,786.8714411
Prev_v1_contig_10190,1548,2736,3590,25.4988727,28.14805508
Prev_v1_contig_10191,1187,754,941,9.200985373,9.660546021
Prev_v1_contig_10192,1803,414,415,10.13626039,8.54819794
Prev_v1_contig_10193,819,870,1260,9.663125961,11.77383619
Prev_v1_contig_10194,819,429,494,12.47989861,12.09009657
Prev_v1_contig_10195,311,642,738,5.529031288,5.347113924
Prev_v1_contig_10196,685,60,68,3.117195666,2.972150397
Prev_v1_contig_10197,402,1814,2651,13.5208968,16.62367344
Prev_v1_contig_10198,489,180,304,5.64768511,8.024548546
Prev_v1_contig_10199,420,4467,5676,21.2548412,22.72130936
Prev_v1_contig_102,1519,778,445,12.98071897,6.246377361
Prev_v1_contig_1020,1313,6286,7974,41.52562216,44.31666377
Prev_v1_contig_10200,1494,157,279,3.205333626,4.792110749
Prev_v1_contig_10201,376,6347,12973,57.28661557,98.50859866
