Contig ID,Size,Pcos_ech1,Pcos_ech2,Pcos1 F ENV RPKM,Pcos2 F ENV RPKM
Pcos_v1_contig_1011,2494,54,205,0.481118816,1.848119086
Pcos_v1_contig_10110,1948,17,182,0.193916605,2.100656178
Pcos_v1_contig_10111,686,128,41,4.14611062,1.343792712
Pcos_v1_contig_10112,1923,5374,1824,62.09739889,21.32642649
Pcos_v1_contig_10113,443,123,119,6.169591597,6.039705679
Pcos_v1_contig_10114,2861,1265,1480,9.824890049,11.63098238
Pcos_v1_contig_10115,1896,2137,4600,25.04501063,54.54965887
Pcos_v1_contig_10116,832,4552,2537,121.5721111,68.55982198
Pcos_v1_contig_10117,1200,1168,1446,21.6280133,27.09315535
Pcos_v1_contig_10118,742,615,302,18.41731184,9.151147975
Pcos_v1_contig_10119,665,8551,4199,285.7263493,141.9700612
Pcos_v1_contig_1012,870,2151,165,54.938423,4.264196722
Pcos_v1_contig_10120,4255,2373,4701,12.39233671,24.84066552
Pcos_v1_contig_10121,966,145,79,3.335384506,1.838749236
Pcos_v1_contig_10122,381,2703,1707,157.6435119,100.7351612
Pcos_v1_contig_10123,287,988,695,76.49447689,54.44718715
Pcos_v1_contig_10124,274,0,0,0,0
Pcos_v1_contig_10125,398,62,60,3.461494521,3.389539651
Pcos_v1_contig_10126,1199,58,147,1.074889552,2.756580578
Pcos_v1_contig_10127,1294,204,9533,3.503086992,165.6410051
Pcos_v1_contig_10128,1460,1186,1448,18.05040141,22.29914679
Pcos_v1_contig_10129,293,0,0,0,0
Pcos_v1_contig_1013,951,24379,17070,569.6267838,403.5761979
Pcos_v1_contig_10130,307,243,355,17.58826212,25.99935164
Pcos_v1_contig_10131,229,43,12,4.172419865,1.178198062
Pcos_v1_contig_10132,1277,1848,1333,32.15630215,23.4699299
Pcos_v1_contig_10133,2262,1534,1792,15.06911649,17.81221568
Pcos_v1_contig_10134,1734,2551,937,32.6901111,12.1496296
Pcos_v1_contig_10135,2951,1632,1319,12.28870096,10.04958497
Pcos_v1_contig_10136,269,2822,895,233.1093861,74.80718209
Pcos_v1_contig_10137,588,781,1129,29.51404526,43.17070651
Pcos_v1_contig_10138,307,15,1114,1.085695192,81.58669783
Pcos_v1_contig_10139,4439,1442,9982,7.218303635,50.559755
Pcos_v1_contig_1014,217,0,65,0,6.734822639
Pcos_v1_contig_10140,555,1782,1556,71.34601943,63.03607301
Pcos_v1_contig_10141,600,49,34,1.814679198,1.274090293
Pcos_v1_contig_10142,819,160,305,4.341013256,8.373142414
Pcos_v1_contig_10143,2400,1376,1677,12.73978865,15.71065751
