Contig ID,Size,Hbet_ech1,Hbet_ech2,Hbet_ech3,HBET1 RPKM,HBET2 RPKM,HBET3 RPKM
Hbet_v1_contig_10090,2651,1711,1466,2164,15.12351819,17.72152142,18.21764195
Hbet_v1_contig_10091,2182,467,497,1994,6.229170712,19.83918755,10.53672135
Hbet_v1_contig_10092,844,2254,997,4210,32.30585967,108.2911896,139.0778617
Hbet_v1_contig_10093,2585,1003,726,2916,7.680768291,24.48952985,25.5155809
Hbet_v1_contig_10094,1471,977,900,1156,16.73240728,17.06077033,19.46762465
Hbet_v1_contig_10095,318,1,80,96,6.880047831,6.553866465,8.698712897
Hbet_v1_contig_10096,464,40,68,344,4.007924415,16.09510956,24.97038313
Hbet_v1_contig_10097,523,27,40,186,2.09163978,7.720843166,8.844041361
Hbet_v1_contig_10098,589,2335,874,1730,40.58118535,63.76528185,50.35176928
Hbet_v1_contig_10099,1972,244,28,839,0.388311016,9.236523203,0.091982533
Hbet_v1_contig_101,2088,183476,71502,99451,936.5183384,1034.027611,576.5069104
Hbet_v1_contig_1010,262,135,64,175,6.680473924,14.50074224,4.500122527
Hbet_v1_contig_10100,1115,860,482,1014,11.82226694,19.74315536,23.95480884
Hbet_v1_contig_10101,1637,1634,1264,2528,21.11674546,33.52600964,30.52707525
Hbet_v1_contig_10102,960,386,502,653,14.30082442,14.76710706,16.34395462
Hbet_v1_contig_10103,897,0,0,62,0,1.500557776,1.162753552
Hbet_v1_contig_10104,2569,292,405,1396,4.311411834,11.79708719,9.990899929
Hbet_v1_contig_10105,2461,577,586,947,6.512003013,8.353949405,8.77096991
Hbet_v1_contig_10106,1107,5274,1104,2508,27.27407579,49.18508051,63.61742946
Hbet_v1_contig_10107,1479,1318,853,1343,15.77282365,19.71339001,20.58875687
Hbet_v1_contig_10108,1646,2126,1206,1459,20.03761683,19.24327279,23.62417113
Hbet_v1_contig_10109,1685,609,753,734,12.22147606,9.456918147,18.78485294
Hbet_v1_contig_1011,2770,530,350,1736,3.455547489,13.60577946,14.93844478
Hbet_v1_contig_10110,1054,7,10,163,0.259470495,3.357379767,1.290722634
Hbet_v1_contig_10111,981,3303,1605,1086,44.74398079,24.03334901,60.87921581
Hbet_v1_contig_10112,1783,1260,1184,1527,18.16054802,18.59264466,21.2112855
Hbet_v1_contig_10113,3385,152,458,1031,3.700286877,6.612313982,5.948076961
