Contig ID,Size,Phco_ech1,Phco_ech2,Phco_ech3,Phco_F1_RPKM,Phco_F2_RPKM,Phco_F3_RPKM
Phco_v1_contig_20526,240,108,37,23,6.848595393,6.140775927,6.985673586
Phco_v1_contig_20527,205,27,5,0,2.004466944,0.97151366,0
Phco_v1_contig_20528,1023,112,10,2,1.666216322,0.389365201,0.142510235
Phco_v1_contig_20529,278,178,49,26,9.744604156,7.020758789,6.817423081
Phco_v1_contig_2053,1510,2762,1008,379,27.83785206,26.58987851,18.29590756
Phco_v1_contig_20530,367,162,38,17,6.717968233,4.124300498,3.376560625
Phco_v1_contig_20531,626,40,6,4,0.972466509,0.381776934,0.465776264
Phco_v1_contig_20532,1638,420,1,7,3.902333557,0.024317497,0.311512757
Phco_v1_contig_20533,413,334,117,45,12.30794114,11.28414292,7.942443913
Phco_v1_contig_20534,422,17,10,2,0.613091741,0.943887679,0.345469124
Phco_v1_contig_20535,396,369,124,80,14.1814349,12.47266527,14.72605763
Phco_v1_contig_20536,425,32,9,1,1.145908772,0.843502449,0.171515259
Phco_v1_contig_20537,855,271,25,52,4.823831972,1.164680119,4.433318401
Phco_v1_contig_20538,1586,261,165,99,2.504530471,4.143940675,4.550128966
Phco_v1_contig_20539,555,69,125,58,1.892104433,8.9711847,7.61774981
Phco_v1_contig_2054,467,3111,917,680,101.3846313,78.2141308,106.1411348
Phco_v1_contig_20540,669,114,112,45,2.593389386,6.668446529,4.903182864
Phco_v1_contig_20541,699,392,191,140,8.534889187,10.88401069,14.5996537
Phco_v1_contig_20542,805,241,130,54,4.556277404,6.432506595,4.889782861
Phco_v1_contig_20543,650,32,170,70,0.749248043,10.41761571,7.850121488
Phco_v1_contig_20544,1379,213,120,72,2.350738568,3.466169114,3.805922362
Phco_v1_contig_20545,285,80,53,20,4.272028315,7.407365557,5.115367386
Phco_v1_contig_20546,247,19,30,19,1.170700067,4.837902033,5.607229634
Phco_v1_contig_20547,1454,562,148,110,5.882486032,4.054432524,5.514675638
Phco_v1_contig_20548,1508,484,198,133,4.884645108,5.229938921,6.428978805
Phco_v1_contig_20549,295,134,19,7,6.913083108,2.565454716,1.729687786
Phco_v1_contig_2055,375,1546,510,217,62.74327986,54.17160169,42.18131946
Phco_v1_contig_20550,1287,290,128,68,3.429323429,3.961541328,3.851430456
Phco_v1_contig_20551,1410,475,226,127,5.127002067,6.384429486,6.565628458
Phco_v1_contig_20552,791,38,83,47,0.731132532,4.179596695,4.331248175
Phco_v1_contig_20553,630,35,79,32,0.845505604,4.994813882,3.702551632
Phco_v1_contig_20554,215,26,9,7,1.840449408,1.667388561,2.373292543
Phco_v1_contig_20555,464,45,10,11,1.475990386,0.85844957,1.728090168
Phco_v1_contig_20556,523,28,10,0,0.814789339,0.761607267,0
Phco_v1_contig_20557,916,130,70,56,2.159916063,3.043934721,4.456400845
Phco_v1_contig_20558,813,169,32,20,3.163626135,1.567805562,1.793209969
Phco_v1_contig_20559,3036,441,44,38,2.210679672,0.577276233,0.912375309
Phco_v1_contig_2056,370,1381,220,256,56.80426569,23.68392761,50.43475736
Phco_v1_contig_20560,805,222,64,41,4.197068812,3.166772477,3.712612913
Phco_v1_contig_20561,361,106,12,30,4.468766461,1.324057398,6.057671904
Phco_v1_contig_20562,250,15,24,4,0.913146052,3.823877767,1.166303764
Phco_v1_contig_20563,509,60,43,9,1.794000103,3.364987393,1.288891684
Phco_v1_contig_20564,598,52,30,12,1.323400076,1.998263883,1.462755557
Phco_v1_contig_20565,1261,220,151,107,2.655196029,4.769739152,6.185294545
Phco_v1_contig_20566,667,69,45,14,1.574389745,2.687320394,1.530008686
Phco_v1_contig_20567,1746,192,237,149,1.673578103,5.406757294,6.220620734
Phco_v1_contig_20568,1882,351,391,149,2.838418919,8.275417368,5.7710966
Phco_v1_contig_20569,422,21,11,3,0.757348622,1.038276447,0.518203687
Phco_v1_contig_2057,2580,1594,1329,640,9.402808834,20.51814257,18.0822289
Phco_v1_contig_20570,728,160,17,15,3.344857335,0.93014426,1.501936509
Phco_v1_contig_20571,1247,472,60,45,5.760557828,1.916538576,2.630496661
Phco_v1_contig_20572,731,158,133,89,3.289491023,7.24714636,8.874917493
Phco_v1_contig_20573,421,26,25,4,0.939896966,2.365324232,0.692579432
Phco_v1_contig_20574,265,27,8,5,1.550625372,1.202477285,1.375358212
Phco_v1_contig_20575,1014,375,41,24,5.628365707,1.610566531,1.725301426
Phco_v1_contig_20576,322,20,11,2,0.945285768,1.360722549,0.452757672
Phco_v1_contig_20577,411,298,149,100,11.03477387,14.44033321,17.73576283
Phco_v1_contig_20578,361,286,84,73,12.05723781,9.268401789,14.74033497
Phco_v1_contig_20579,1488,164,6157,5203,1.677374021,164.8158561,254.8840089
Phco_v1_contig_2058,767,12298,7153,2433,244.0215157,371.471611,231.2269441
Phco_v1_contig_20580,858,123,86,43,2.181759216,3.992490869,3.653195065
Phco_v1_contig_20581,968,212,80,36,3.333108869,3.291905791,2.710933336
Phco_v1_contig_20582,1322,482,295,98,5.548870364,8.888394645,5.403638846
Phco_v1_contig_20583,358,18,16,9,0.765206189,1.780203802,1.832530355
Phco_v1_contig_20584,256,142,54,7,8.441845015,8.402075171,1.993194909
Phco_v1_contig_20585,2103,280,167,80,2.026318709,3.163078474,2.772952363
Phco_v1_contig_20586,2323,154,56,8,1.008928771,0.960221853,0.251033957
Phco_v1_contig_20587,1681,412,172,257,3.730083022,4.075618282,11.14441059
Phco_v1_contig_20588,215,22,14,14,1.557303345,2.593715539,4.746585086
Phco_v1_contig_20589,2640,630,152,41,3.63183089,2.293361034,1.13206568
Phco_v1_contig_2059,539,112,121,51,3.162410571,8.941891036,6.897204541
Phco_v1_contig_20590,459,43,54,32,1.425754548,4.686124714,5.081933612
Phco_v1_contig_20591,1313,106,429,576,1.228655516,13.01443547,31.97786405
Phco_v1_contig_20592,579,342,0,188,8.989520723,0,23.66851334
Phco_v1_contig_20593,205,156,45,25,11.58136457,8.743622942,8.889510396
Phco_v1_contig_20594,228,60,196,12,4.005026545,34.2415955,3.836525539
Phco_v1_contig_20595,315,153,29,15,7.39213471,3.667078546,3.471142155
Phco_v1_contig_20596,344,202,65,31,8.936797605,7.526406699,6.568934717
Phco_v1_contig_20597,534,105,33,40,2.992519834,2.461531802,5.460223614
Phco_v1_contig_20598,894,100,52,30,1.702360277,2.316853606,2.446106888
Phco_v1_contig_20599,266,23,163,68,1.315937293,24.40836764,18.63455262
Phco_v1_contig_206,1597,953,3623,520,9.08190553,90.36415381,23.73504842
Phco_v1_contig_2060,795,706,305,186,13.51532732,15.28148216,17.05444183
Phco_v1_contig_20600,995,377,32,24,5.766433195,1.281031078,1.75824688
Phco_v1_contig_20601,563,98,27,25,2.649150774,1.910240891,3.236855473
Phco_v1_contig_20602,1666,408,133,164,3.727126744,3.179870342,7.175638404
Phco_v1_contig_20603,2234,526,488,60,3.583369319,8.701005064,1.957761466
Phco_v1_contig_20604,208,23,6,2,1.682881346,1.149001733,0.700903704
Phco_v1_contig_20605,289,23,38,9,1.21120872,5.237433504,2.270054904
Phco_v1_contig_20606,449,835,117,104,28.30278225,10.37940095,16.88413021
Phco_v1_contig_20607,818,197,117,52,3.665235785,5.697250645,4.633847473
Phco_v1_contig_20608,513,549,217,93,16.28710795,16.84903905,13.21469908
