Contig ID,Size,Pgra_ech1,Pgra_ech2,Pgra_ENV_F1_RPKM,Pgra_ENV_F2_RPKM
Pgra_v1_contig_10223,702,34,261,0.958066307,8.139814424
Pgra_v1_contig_10224,407,519,217,25.22474074,11.67283732
Pgra_v1_contig_10225,560,786,334,27.76439929,13.05778605
Pgra_v1_contig_10226,1222,1679,2845,27.17898618,50.97088489
Pgra_v1_contig_10227,686,2673,2448,77.07767494,78.12650675
Pgra_v1_contig_10228,1467,84,0,1.132668792,0
Pgra_v1_contig_10229,2907,2944,3847,20.03302516,28.97265287
Pgra_v1_contig_1023,5396,3423,3991,12.54841059,16.19276061
Pgra_v1_contig_10230,1002,2093,618,41.31952015,13.50304957
Pgra_v1_contig_10231,2280,1051,3367,9.118462819,32.33101789
Pgra_v1_contig_10232,341,541,354,31.38315839,22.72793567
Pgra_v1_contig_10233,261,202,124,15.30962752,10.40141169
Pgra_v1_contig_10234,1366,310,29,4.489156615,0.464791746
Pgra_v1_contig_10235,1276,1325,504,20.54087626,8.647507962
Pgra_v1_contig_10236,3540,3003,3244,16.78053615,20.06266826
Pgra_v1_contig_10237,1722,360,215,4.135453255,2.733483277
Pgra_v1_contig_10238,1818,1801,1206,19.59627821,14.52327422
Pgra_v1_contig_10239,2054,932,1528,8.975718749,16.28673475
Pgra_v1_contig_1024,1052,5100,4827,95.89770168,100.4552566
Pgra_v1_contig_10240,584,293,90,9.924497708,3.373966536
Pgra_v1_contig_10241,2329,1190,2146,10.10720875,20.17303944
Pgra_v1_contig_10242,215,304,314,27.96976943,31.97439212
Pgra_v1_contig_10243,317,727,281,45.36583524,19.40698929
Pgra_v1_contig_10244,1994,852,1070,8.452169607,11.74815674
Pgra_v1_contig_10245,2008,535,3408,5.270403138,37.15754275
Pgra_v1_contig_10246,2328,947,511,8.04675476,4.805615643
Pgra_v1_contig_10247,460,490,1673,21.07133302,79.62495828
Pgra_v1_contig_10248,2162,547,515,5.004784699,5.21510009
Pgra_v1_contig_10249,471,604,292,25.36704002,13.57291261
Pgra_v1_contig_1025,1666,7126,4526,84.61056273,59.47721999
Pgra_v1_contig_10250,1152,702,152,12.05420007,2.88869851
Pgra_v1_contig_10251,1179,809,1062,13.57339473,19.72067701
Pgra_v1_contig_10252,1114,2370,1492,42.08399087,29.32207774
Pgra_v1_contig_10253,988,1255,948,25.12699445,21.00692579
Pgra_v1_contig_10254,230,234,368,20.12527317,35.02927035
Pgra_v1_contig_10255,1496,1219,851,16.11854643,12.45400613
Pgra_v1_contig_10256,489,1423,630,57.56384611,28.20608425
Pgra_v1_contig_10257,1869,652,2329,6.900682673,27.28169163
Pgra_v1_contig_10258,550,694,385,24.96034268,15.32530578
Pgra_v1_contig_10259,304,465,452,30.25750626,32.55187129
Pgra_v1_contig_1026,1949,935,14235,9.489722968,159.9030475
