Contig ID,Size,Gpru_ech1,Gpru_ech2,Gpru_ech3,Gpru_ENV_F1_RPKM,Gpru_ENV_F2_RPKM,Gpru_ENV_F3_RPKM
Gpru_v1_contig_10129,3034,885,2804,8701,6.155829207,17.08194854,53.95960957
Gpru_v1_contig_1013,929,5570,6890,4173,126.5314103,137.0813852,84.51774031
Gpru_v1_contig_10130,1705,691,1186,1154,8.55288301,12.85687087,12.73493205
Gpru_v1_contig_10131,669,168,238,229,5.299587066,6.575455085,6.440573948
Gpru_v1_contig_10132,441,687,843,1456,32.87585189,35.3316534,62.12093616
Gpru_v1_contig_10133,680,1255,1400,1547,38.94876403,38.05345546,42.80520757
Gpru_v1_contig_10134,1971,2986,5905,1007,31.9714289,55.3743006,9.612980308
Gpru_v1_contig_10135,1450,1024,1319,1724,14.90358751,16.81325383,22.37095198
Gpru_v1_contig_10136,846,199,325,119,4.964112108,7.100484344,2.646621308
Gpru_v1_contig_10137,318,26,71,46,1.725460794,4.126731424,2.721735501
Gpru_v1_contig_10138,596,131,311,51,4.638567742,9.644708487,1.610049109
Gpru_v1_contig_10139,2360,192,550,1128,1.716912226,4.307503736,8.993159647
Gpru_v1_contig_1014,1204,850,644,291,14.89880055,9.886313014,4.547594248
Gpru_v1_contig_10140,1702,577,1142,759,7.154431419,12.40170865,8.390685179
Gpru_v1_contig_10141,3616,3033,4157,4153,17.70120599,21.24841691,21.6096989
Gpru_v1_contig_10142,1449,2067,1494,1629,30.10446813,19.05711647,21.15280205
Gpru_v1_contig_10143,1569,1223,3333,1394,16.44986662,39.26334954,16.71687275
Gpru_v1_contig_10144,713,7,181,28,0.207189326,4.692065015,0.738896668
Gpru_v1_contig_10145,3040,211,751,695,1.464764275,4.56605701,4.301564382
Gpru_v1_contig_10146,623,327,279,420,11.07690864,8.277346446,12.68459047
Gpru_v1_contig_10147,251,122,39,165,10.25758151,2.871877174,12.36873911
Gpru_v1_contig_10148,282,501,396,305,37.49276633,25.95500123,20.35007141
Gpru_v1_contig_10149,1207,119,161,79,2.080647739,2.465435143,1.231501734
Gpru_v1_contig_1015,2300,13687,20685,27938,125.5854421,166.2274205,228.5507672
Gpru_v1_contig_10150,1204,96,154,327,1.682688062,2.364118329,5.110183227
Gpru_v1_contig_10151,1270,432,157,251,7.178585765,2.284919519,3.718649165
Gpru_v1_contig_10152,903,2079,1038,1533,48.5876178,21.24636213,31.94255204
Gpru_v1_contig_10153,1981,970,1196,1310,10.33346865,11.15890757,12.44233891
Gpru_v1_contig_10154,1764,573,590,627,6.855117588,6.18199155,6.687813697
Gpru_v1_contig_10155,1978,536,626,705,5.718700734,5.849557606,6.7062237
Gpru_v1_contig_10156,1872,1732,2574,1169,19.52544366,25.41427204,11.74962141
Gpru_v1_contig_10157,643,534,618,860,17.52625603,17.76447914,25.16533318
Gpru_v1_contig_10158,1588,506,591,389,6.724482788,6.87878854,4.609080673
Gpru_v1_contig_10159,1624,720,1061,2145,9.356325864,12.07547812,24.8517215
Gpru_v1_contig_1016,2633,72,153860,360,0.577085955,1080.064882,2.572567911
Gpru_v1_contig_10160,1290,1114,1359,1308,18.22444654,19.47173824,19.07801738
Gpru_v1_contig_10161,642,404,814,814,13.28021801,23.43496737,23.85638216
Gpru_v1_contig_10162,1375,326,345,426,5.003498449,4.637579559,5.82937652
Gpru_v1_contig_10163,302,376,528,293,26.27482121,32.31483597,18.25474976
Gpru_v1_contig_10164,572,163,212,219,6.013820251,6.850382292,7.203827295
Gpru_v1_contig_10165,1036,261,310,290,5.316668954,5.530659412,5.266880307
Gpru_v1_contig_10166,1627,2049,1897,1521,26.57744775,21.55037115,17.58963662
Gpru_v1_contig_10167,1218,842,828,1345,14.58893774,12.56487073,20.77735224
Gpru_v1_contig_10168,665,0,1016,30,0,28.23885211,0.84881846
Gpru_v1_contig_10169,318,507,1347,832,33.64648547,78.29165109,49.22791168
Gpru_v1_contig_1017,1629,3395,6262,7784,43.98226206,71.05047001,89.90771275
Gpru_v1_contig_10170,2171,454,695,503,4.413213083,5.916978039,4.359366355
Gpru_v1_contig_10171,907,323,279,148,7.515434651,5.685542267,3.070220978
Gpru_v1_contig_10172,1812,667,739,442,7.768309286,7.538088316,4.589646981
Gpru_v1_contig_10173,223,0,10,0,0,0.828838876,0
Gpru_v1_contig_10174,1993,399,991,2737,4.224978124,9.190546401,25.83941667
Gpru_v1_contig_10175,1950,1138,1807,2121,12.31591033,17.1276791,20.46544836
Gpru_v1_contig_10176,2237,408,491,506,3.849045514,4.05686433,4.255981575
Gpru_v1_contig_10177,1921,3228,4721,4602,35.46214725,45.42360638,45.0748672
Gpru_v1_contig_10178,434,0,18,4,0,0.766580472,0.173414524
Gpru_v1_contig_10179,2532,2682,3128,2200,22.35393273,22.83379088,16.34835975
Gpru_v1_contig_1018,1345,2936,3702,2388,46.06728679,50.87320587,33.4062129
Gpru_v1_contig_10180,429,166,200,51,8.166005412,8.616833072,2.236804822
Gpru_v1_contig_10181,1629,923,1273,1186,11.95747508,14.44382758,13.69868285
