Contig ID,Size,Hkan_ech1,Hkan_ech2,Hkan_ech3,Hkan_ENV_F1_RPKM,Hkan_ENV_F2_RPKM,Hkan_ENV_F3_RPKM
Hkan_v1_contig_10111,440,381,373,595,16.46746773,34.65278803,5.178426914
Hkan_v1_contig_10112,2048,1450,2453,2699,23.26688598,33.77122584,51.66901527
Hkan_v1_contig_10113,986,291,382,117,7.525876958,3.040764873,0.376186492
Hkan_v1_contig_10114,595,96,71,59,2.317992619,2.541025005,0.653080223
Hkan_v1_contig_10115,4188,7640,7578,8217,35.14945485,50.27829095,13.42427323
Hkan_v1_contig_10116,492,1195,1312,747,51.80114961,38.90714754,20.67846028
Hkan_v1_contig_10117,4255,12059,9163,7467,41.83201532,44.96975067,27.47600799
Hkan_v1_contig_10118,456,20,39,61,1.661385555,3.427984781,0.077468647
Hkan_v1_contig_10119,925,87,73,79,1.533034022,2.188564001,1.37483817
Hkan_v1_contig_1012,1729,1800,1832,1475,20.58264302,21.86104508,17.04991275
Hkan_v1_contig_10120,3710,3321,2504,2594,13.110857,17.9171923,5.908247628
Hkan_v1_contig_10121,489,533,165,344,6.554593317,18.02700073,0.469564559
Hkan_v1_contig_10122,862,199,322,296,7.256367535,8.799506938,5.655390965
Hkan_v1_contig_10123,758,126,140,146,3.587810494,4.935799879,3.402079575
Hkan_v1_contig_10124,1059,2164,1518,1021,27.84495223,24.70607041,7.989146236
Hkan_v1_contig_10125,1698,299,373,75,4.26718834,1.131872401,0.748954834
Hkan_v1_contig_10126,606,118,55,13,1.763034176,0.549723903,0.670372251
Hkan_v1_contig_10127,231,978,756,504,63.57413815,55.91038069,62.2405243
Hkan_v1_contig_10128,3656,2194,2720,2269,14.45218069,15.90384746,2.27066198
Hkan_v1_contig_10129,1493,151,622,361,8.092845375,6.196140928,4.625703237
Hkan_v1_contig_1013,1860,2639,1939,1458,20.25048974,20.08715693,7.938787014
Hkan_v1_contig_10130,1387,174,499,396,6.988673482,7.316318742,5.819699446
Hkan_v1_contig_10131,639,0,59,0,1.793584405,0,3.869795319
Hkan_v1_contig_10132,506,2487,3480,2764,133.5978266,139.9785256,119.4162351
Hkan_v1_contig_10133,2976,1693,1416,795,9.242745444,6.845546023,4.386037383
Hkan_v1_contig_10134,2401,825,548,455,4.433626091,4.856161588,1.736123678
Hkan_v1_contig_10135,229,61,72,46,6.107559124,5.147498659,0.539912491
Hkan_v1_contig_10136,3935,1049,1138,945,5.617824802,6.154049209,2.895181502
Hkan_v1_contig_10137,1035,1365,2112,1643,39.63914057,40.67907851,43.36358033
Hkan_v1_contig_10138,1578,1890,1515,1537,18.64989108,24.95978048,9.10006227
Hkan_v1_contig_10139,1080,1448,1343,1047,24.15588331,24.84258698,16.38720111
Hkan_v1_contig_1014,1809,2561,2903,2146,31.17303841,30.39940222,0.419846663
Hkan_v1_contig_10140,1416,2272,2186,2343,29.98869519,42.40166671,20.0578144
Hkan_v1_contig_10141,2250,675,741,647,6.397441976,7.3687811,3.697423579
Hkan_v1_contig_10142,1179,8649,7172,724,118.1672535,15.73615606,179.6097765
Hkan_v1_contig_10143,226,813,279,0,23.98095256,0,46.11098398
