Contig ID,Size,Grac_ech1,Grac_ech2,Grac_ech3,Grac10_F RPKM,Grac9_F RPKM,Grac8_F RPKM
Grac_v1_contig_10095,1661,592,1147,724,15.02357008,10.52067248,8.709350416
Grac_v1_contig_10096,1253,2536,6172,4137,85.31379308,75.04548382,65.97072861
Grac_v1_contig_10097,1754,1072,1834,1836,25.76239705,15.93013506,20.91509871
Grac_v1_contig_10098,2430,584,752,442,10.13042456,4.71477837,3.63440086
Grac_v1_contig_10099,554,389,1388,853,29.59790076,38.17063781,30.76494176
Grac_v1_contig_101,1303,8829,21540,11042,285.6197102,251.8552445,169.3246388
Grac_v1_contig_1010,2353,1227,1726,1601,21.98081083,11.1755416,13.59521987
Grac_v1_contig_10100,547,18,507,126,1.387095146,14.12115918,4.602566261
Grac_v1_contig_10101,565,342,678,582,25.51518557,18.28230549,20.58217979
Grac_v1_contig_10102,530,836,1717,662,66.48925716,49.35647567,24.95737764
Grac_v1_contig_10103,2072,363,476,508,7.38478655,3.499990916,4.898812214
Grac_v1_contig_10104,2733,427,438,293,6.585811807,2.44165441,2.142125048
Grac_v1_contig_10105,336,21,252,152,2.634517516,11.42644093,9.039015712
Grac_v1_contig_10106,542,31,53,52,2.410923778,1.489794266,1.916994593
Grac_v1_contig_10107,201,0,223,354,0,16.90279488,35.19038639
Grac_v1_contig_10108,1728,1075,1886,1986,26.22320676,16.6282929,22.96425373
Grac_v1_contig_10109,286,30,98,18,4.421567859,5.220471847,1.257544328
Grac_v1_contig_1011,828,208,348,163,10.58897861,6.403222937,3.933454206
Grac_v1_contig_10110,618,0,39,219,0,0.961448104,7.080639288
Grac_v1_contig_10111,1051,1188,4717,3754,47.64691622,68.37744608,71.3687981
Grac_v1_contig_10112,403,98,621,312,10.25043043,23.47665779,15.46914743
Grac_v1_contig_10113,1722,1443,2561,2337,35.32272962,22.65823866,27.11704714
Grac_v1_contig_10114,2581,2337,4749,4335,38.16733009,28.0326323,33.55968904
Grac_v1_contig_10115,977,1629,3421,2861,70.2825635,53.34678188,58.51135086
Grac_v1_contig_10116,386,42,72,70,4.586517541,2.841809143,3.623494163
Grac_v1_contig_10117,774,77,178,177,4.193443901,3.503714876,4.569294356
Grac_v1_contig_10118,2003,192,474,576,4.040558067,3.605347313,5.745903989
Grac_v1_contig_10119,1874,643,1213,1241,14.46313565,9.861453468,13.23180298
Grac_v1_contig_1012,2216,9571,32585,21529,182.0575245,224.0256184,194.1202905
Grac_v1_contig_10120,330,980,834,501,125.1794989,38.50364338,30.33476374
Grac_v1_contig_10121,518,366,1471,1137,29.78327138,43.26459359,43.85786998
Grac_v1_contig_10122,2083,1014,1926,1834,20.51964099,14.08694206,17.59247296
Grac_v1_contig_10123,1692,2649,5349,4184,65.99372955,48.16393423,49.40923706
Grac_v1_contig_10124,1045,158,509,80,6.373263426,7.420808209,1.529644563
Grac_v1_contig_10125,1622,127,437,627,3.300455976,4.104689426,7.723844499
Grac_v1_contig_10126,1392,327,1092,331,9.902152043,11.95179454,4.751224911
Grac_v1_contig_10127,1663,66,332,245,1.672910702,3.04155413,2.943680466
Grac_v1_contig_10128,767,626,1056,1463,34.40329523,20.97578726,38.11235569
Grac_v1_contig_10129,608,622,994,230,43.12289197,24.90763659,7.558595203
Grac_v1_contig_1013,1799,3971,12703,9510,93.04430511,107.5783429,105.6248693
Grac_v1_contig_10130,2151,575,975,942,11.2680433,6.905798796,8.750388256
Grac_v1_contig_10131,893,593,1893,1168,27.99137983,32.29600998,26.13414008
Grac_v1_contig_10132,1554,467,2222,997,12.66738409,21.78425718,12.81920152
Grac_v1_contig_10133,1536,311,907,1392,8.534739036,8.996338476,18.10776503
Grac_v1_contig_10134,1152,85,243,68,3.11019429,3.213686512,1.179432971
Grac_v1_contig_10135,1439,199,717,702,5.829259048,7.591158811,9.74749787
Grac_v1_contig_10136,1558,125,685,412,3.381922357,6.698427075,5.283802712
Grac_v1_contig_10137,4586,3116,6752,7213,28.64075562,22.43097228,31.42669514
Grac_v1_contig_10138,209,115,229,76,23.19383842,16.69317367,7.265811673
Grac_v1_contig_10139,330,2,33,15,0.255468365,1.523525457,0.908226459
Grac_v1_contig_1014,504,2579,35261,18111,215.6958944,1065.893475,718.0070771
Grac_v1_contig_10140,344,0,13,0,0,0.5757509,0
Grac_v1_contig_10141,197,11,33,72,2.353680623,2.552098482,7.302693966
Grac_v1_contig_10142,1296,1612,3581,2436,52.43015106,42.09679524,37.55684599
Grac_v1_contig_10143,621,16,46,47,1.086049089,1.128537376,1.512248243
Grac_v1_contig_10144,919,104,98,81,4.770225404,1.624651739,1.761109413
Grac_v1_contig_10145,499,6,38,15,0.506841045,1.160199747,0.600630724
Grac_v1_contig_10146,270,0,32,4,0,1.805659801,0.29601455
Grac_v1_contig_10147,1356,700,2375,1977,21.76002668,26.68416638,29.13156461
Grac_v1_contig_10148,2406,428,2286,2782,7.498410619,14.4753915,23.1035296
Grac_v1_contig_10149,1156,184,1386,985,6.709359487,18.26649035,17.02531779
Grac_v1_contig_1015,2470,2148,5581,4517,36.65712469,34.42427359,36.5401199
Grac_v1_contig_10150,1084,596,1072,843,23.17597697,15.06659862,15.53871579
Grac_v1_contig_10151,1058,501,1248,3297,19.96057884,17.97126437,62.26587712
Grac_v1_contig_10152,1320,780,2147,1338,24.90816561,24.7803724,20.25345004
Grac_v1_contig_10153,1562,602,1448,754,16.24562914,14.12333459,9.645109158
