Contig ID,Size,Ncfi_ech1,Ncfi_ech2,Ncfi_ENV_F1 RPKM,Ncfi_ENV_F2 RPKM
Ncfi_contig_10243,1062,14,20,0.221643957,0.310883296
Ncfi_contig_10244,800,0,0,0,0
Ncfi_contig_10245,860,159,128,3.108501273,2.456990215
Ncfi_contig_10246,1735,142,172,1.376072265,1.636518339
Ncfi_contig_10247,736,921,1912,21.03944078,42.88466108
Ncfi_contig_10248,416,194,326,7.840807214,12.93648169
Ncfi_contig_10249,1404,1234,1315,14.77748164,15.46146186
Ncfi_contig_1025,1612,88,173,0.917846405,1.77162979
Ncfi_contig_10250,1840,3422,3067,31.26904076,27.51616225
Ncfi_contig_10251,340,1834,3831,90.69279592,186.0052248
Ncfi_contig_10252,1039,2396,2332,38.77248553,37.05142427
Ncfi_contig_10253,347,748,148,36.24303008,7.040834713
Ncfi_contig_10254,1131,2245,3447,33.37383518,50.31188477
Ncfi_contig_10255,1073,30,52,0.470082311,0.800010211
Ncfi_contig_10256,1233,2517,2464,34.32199434,32.98902921
Ncfi_contig_10257,1565,849,1871,9.121068657,19.73564635
Ncfi_contig_10258,616,111,106,3.029665232,2.840645648
Ncfi_contig_10259,1265,8,10,0.106329027,0.130497257
Ncfi_contig_1026,802,2760,4862,57.86115388,100.0765891
Ncfi_contig_10260,2188,1474,1273,11.32667769,9.604460938
Ncfi_contig_10261,402,12,19,0.501888875,0.780224272
Ncfi_contig_10262,1678,133,172,1.332637595,1.692109248
Ncfi_contig_10263,1435,436,599,5.10842433,6.890755333
Ncfi_contig_10264,1369,1096,1236,13.460447,14.90414034
Ncfi_contig_10265,2719,658,663,4.06882548,4.025281241
Ncfi_contig_10266,1375,769,819,9.403207463,9.83270732
Ncfi_contig_10267,1459,340,654,3.91810438,7.399704296
Ncfi_contig_10268,2780,903,1975,5.46129116,11.72773685
Ncfi_contig_10269,1095,1236,1077,18.97827468,16.23654022
Ncfi_contig_1027,1919,4714,5474,41.30160985,47.08924496
Ncfi_contig_10270,1613,1089,1131,11.35130751,11.57497725
Ncfi_contig_10271,1063,129,125,2.040369497,1.941192734
Ncfi_contig_10272,720,47,82,1.097533381,1.880066732
Ncfi_contig_10273,1369,1448,1026,17.78351027,12.37188348
Ncfi_contig_10274,3027,738,110,4.099173659,0.59989076
Ncfi_contig_10275,1935,636,626,5.526224485,5.340541232
Ncfi_contig_10276,1291,11407,12382,148.558524,158.3275407
Ncfi_contig_10277,797,4,82,0.084382822,1.698429168
Ncfi_contig_10278,1218,30,40,0.414120131,0.542131462
Ncfi_contig_10279,220,129,203,9.858694431,15.23229232
Ncfi_contig_1028,1846,1066,979,9.709075638,8.754732961
Ncfi_contig_10280,2786,1345,1933,8.116962671,11.45361684
Ncfi_contig_10281,364,15,0,0.692854835,0
Ncfi_contig_10282,1428,4059,5172,47.79068113,59.78912771
Ncfi_contig_10283,1241,12931,23138,175.1913691,307.7839322
Ncfi_contig_10284,1264,396,364,5.267450807,4.753858145
Ncfi_contig_10285,817,2398,1342,49.34912977,27.11579662
Ncfi_contig_10286,1299,214,153,2.769854771,1.944348853
Ncfi_contig_10287,1595,32,50,0.33731967,0.517489123
Ncfi_contig_10288,7195,4,9,0.009347201,0.020649218
Ncfi_contig_10289,969,690,1546,11.97230274,26.33768633
Ncfi_contig_1029,1620,12,8,0.124542795,0.081520509
Ncfi_contig_10290,2018,887,925,7.390176901,7.566803907
Ncfi_contig_10291,2828,2243,2733,13.33528325,15.95335888
Ncfi_contig_10292,780,2034,2572,43.84385395,54.43375198
Ncfi_contig_10293,1196,2049,2389,28.80468665,32.97439824
Ncfi_contig_10294,4380,9717,7369,37.30014058,27.77322769
Ncfi_contig_10295,2178,585,774,4.515962918,5.866444871
Ncfi_contig_10296,605,109,95,3.029168972,2.592150059
Ncfi_contig_10297,3276,1001,1045,5.137390293,5.265799342
Ncfi_contig_10298,1199,6613,7440,92.73244616,102.4343606
Ncfi_contig_10299,1264,1494,3022,19.87265532,39.46747065
Ncfi_contig_103,2428,2880,2446,19.94326141,16.6302845
Ncfi_contig_1030,1577,3384,7238,36.07871304,75.76677361
Ncfi_contig_10300,2053,2909,4124,23.82358682,33.16054165
Ncfi_contig_10301,1563,10,409,0.107570552,4.319726379
Ncfi_contig_10302,1288,236,186,3.080693671,2.383905248
Ncfi_contig_10303,1048,1256,633,20.15026366,9.970899433
Ncfi_contig_10304,1148,2,2,0.029291424,0.028759413
Ncfi_contig_10305,921,3,8,0.054766376,0.143391123
Ncfi_contig_10306,3137,1513,1672,8.109177109,8.798601796
Ncfi_contig_10307,832,3541,3289,71.55746996,65.25780409
Ncfi_contig_10308,1463,146,186,1.677880034,2.098749118
Ncfi_contig_10309,1852,54,46,0.490235948,0.410023509
Ncfi_contig_1031,4948,4471,4866,15.1924339,16.23432822
Ncfi_contig_10310,753,2005,2939,44.76842103,64.43124428
Ncfi_contig_10311,1714,1143,1145,11.21212134,11.02774151
Ncfi_contig_10312,2348,720,839,5.15568981,5.898692771
Ncfi_contig_10313,1110,435,476,6.588987059,7.079064714
Ncfi_contig_10314,1752,782,733,7.504556431,6.906559878
Ncfi_contig_10315,2952,6730,6270,38.33108279,35.06251757
Ncfi_contig_10316,2759,2319,2716,14.13192828,16.25062145
Ncfi_contig_10317,2828,5972,2638,35.50526598,15.39881476
Ncfi_contig_10318,692,301,584,7.313289703,13.93152508
Ncfi_contig_10319,644,8,27,0.208860588,0.692101524
Ncfi_contig_1032,2687,315,436,1.97103921,2.678617682
Ncfi_contig_10320,1256,1579,1833,21.13707396,24.09154954
Ncfi_contig_10321,947,794,858,14.09687666,14.9564739
Ncfi_contig_10322,967,1979,1867,34.4089719,31.87203197
Ncfi_contig_10323,1971,857,852,7.31049146,7.135836309
Ncfi_contig_10324,1998,3899,4800,32.81029444,39.65862585
Ncfi_contig_10325,1409,153,498,1.825714287,5.834588857
Ncfi_contig_10326,1339,111,295,1.393781765,3.636916645
Ncfi_contig_10327,1198,1047,1107,14.69407459,15.2539638
Ncfi_contig_10328,916,19731,27012,362.1646014,486.8029215
Ncfi_contig_10329,1106,757,1410,11.50782182,21.04533747
Ncfi_contig_1033,1458,3541,5555,40.83389232,62.89533691
Ncfi_contig_10330,1567,267,665,2.864802199,7.005587429
Ncfi_contig_10331,2899,48,24,0.278384723,0.136664254
Ncfi_contig_10332,738,684,630,15.58303752,14.09211233
Ncfi_contig_10333,3121,4969,4026,26.76871997,21.29471885
Ncfi_contig_10334,2199,1126,895,8.609254328,6.718769074
Ncfi_contig_10335,2264,224,330,1.66350447,2.406187276
Ncfi_contig_10336,737,0,0,0,0
Ncfi_contig_10337,6292,3151,3818,8.419999499,10.01703333
Ncfi_contig_10338,1944,744,1326,6.434711075,11.26002026
Ncfi_contig_10339,1622,65,118,0.673774985,1.200944855
Ncfi_contig_1034,3992,941,1161,3.96324999,4.80102089
Ncfi_contig_10340,210,1080,1491,86.46828338,117.2061114
Ncfi_contig_10341,3700,4488,5088,20.39405098,22.70059744
Ncfi_contig_10342,1623,631,873,6.536770173,8.879482026
Ncfi_contig_10343,1564,440,513,4.73007802,5.414676627
Ncfi_contig_10344,1594,322,204,3.396408594,2.112680184
Ncfi_contig_10345,3251,477,338,2.466912729,1.716293823
Ncfi_contig_10346,1694,26903,7424,267.0174733,72.34632346
Ncfi_contig_10347,2699,2823,2749,17.58572875,16.81371818
Ncfi_contig_10348,1708,792,884,7.796320633,8.543902963
Ncfi_contig_10349,1484,89,196,1.008343451,2.180289077
Ncfi_contig_1035,975,2946,2625,50.8019641,44.44435426
Ncfi_contig_10350,2667,1093,846,6.890480733,5.23647767
Ncfi_contig_10351,5525,2097,2091,6.381437565,6.24760637
Ncfi_contig_10352,525,5,2,0.160126451,0.06288725
Ncfi_contig_10353,1469,4226,2795,48.36821645,31.40884201
Ncfi_contig_10354,1582,98,181,1.041530454,1.888704453
Ncfi_contig_10355,880,123,151,2.350037626,2.832606085
Ncfi_contig_10356,4421,2207,2641,8.393327992,9.861427697
Ncfi_contig_10357,1448,190,243,2.20616208,2.770317978
Ncfi_contig_10358,4424,4431,3820,16.83988061,14.25411155
Ncfi_contig_10359,1759,4245,6042,40.57553283,56.70309834
Ncfi_contig_1036,1107,4007,8219,60.85889994,122.5640965
Ncfi_contig_10360,1530,1759,2845,19.32977439,30.69606802
Ncfi_contig_10361,1430,23,23,0.270423342,0.265511727
Ncfi_contig_10362,1193,440,1542,6.201041092,21.33712191
Ncfi_contig_10363,752,0,0,0,0
Ncfi_contig_10364,802,6,4,0.125785117,0.082333681
Ncfi_contig_10365,1589,2056,1953,21.7546244,20.28944907
Ncfi_contig_10366,1741,1285,1537,12.40957,14.57360536
Ncfi_contig_10367,1052,967,1020,15.45479009,16.00576147
Ncfi_contig_10368,1246,279,261,3.764770765,3.457915478
Ncfi_contig_10369,1590,39,84,0.412401142,0.872115631
Ncfi_contig_1037,1061,2347,4041,37.19204701,62.87317254
Ncfi_contig_10370,1616,812,1319,8.448255685,13.47396291
Ncfi_contig_10371,4294,1763,1975,6.903075902,7.592712726
Ncfi_contig_10372,222,0,0,0,0
Ncfi_contig_10373,3608,2762,3616,12.87091795,16.5445059
Ncfi_contig_10374,2225,1435,1398,10.84361931,10.37215659
Ncfi_contig_10375,339,27,37,1.339110583,1.801747526
Ncfi_contig_10376,4211,2982,2622,11.90624388,10.27872755
Ncfi_contig_10377,1302,1211,1445,15.63815579,18.32098299
Ncfi_contig_10378,2761,252,2898,1.534569318,17.32702025
Ncfi_contig_10379,1368,240,574,2.949697776,6.926561643
Ncfi_contig_1038,2750,0,0,0,0
Ncfi_contig_10380,1026,553,412,9.062127057,6.628904523
Ncfi_contig_10381,633,1565,2846,41.56837127,74.22036646
Ncfi_contig_10382,762,0,0,0,0
Ncfi_contig_10383,3559,289,303,1.365281581,1.405421358
Ncfi_contig_10384,271,20,70,1.240832275,4.264033988
Ncfi_contig_10385,553,2,18,0.060807513,0.537327765
Ncfi_contig_10386,1167,8,20,0.115258114,0.282911791
Ncfi_contig_10387,1852,288,395,2.614591722,3.520854044
Ncfi_contig_10388,1093,204,186,3.138068229,2.809213138
Ncfi_contig_10389,1777,212,282,2.005860885,2.619712239
Ncfi_contig_1039,1058,3909,4944,62.12013333,77.14090027
Ncfi_contig_10390,1999,363,199,3.053136403,1.643358029
Ncfi_contig_10391,1058,763,812,12.12526522,12.66958152
Ncfi_contig_10392,1642,831,763,8.509033774,7.670846527
